mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,mode1:,,
169587.930233,282067,252831.813953,405216.255814,225687.55814,233403.046512,149457.813953,245464.488372143,84089.0277242892
165617.666667,466349.119048,256450.595238,399821.785714,261426.214286,179408.809524,174591.452381,271952.234694,118210.487752664
242519.928571,299489.5,228406.547619,162789.47619,239976.428571,161849.952381,175422.642857,215779.210884143,51336.0869688712
271677.571429,276332.833333,290163.02381,155681.02381,164662.404762,159996.595238,247374.547619,223698.285714429,60855.0501532652
249006.232558,387432.72093,290236.395349,213640.744186,163335.534884,249889.44186,163970.069767,245358.734219143,78092.6848329179
252896.674419,218438.302326,261863.906977,184543.488372,156549.511628,251985.139535,153717.534884,211427.794020143,46587.5176624685
244995.790698,268902.023256,363891.255814,224286.069767,194791.837209,222963.209302,156707.813953,239505.428571286,65480.4831151397
258877.162791,275630.139535,199024.116279,233830.069767,154762.162791,180701.162791,152300.27907,207875.013289143,49315.1833338655
155503.651163,275770.813953,196949.627907,230044.837209,194289.348837,156583.232558,150724.976744,194266.641195857,46095.3606599106
158955.365854,292914.707317,202821.97561,262789.243902,167026.097561,162044.292683,158918.268293,200781.421602857,55497.1558221644
182872.538462,482123.948718,237543.948718,240695.948718,204150.794872,310355.358974,266229.102564,274853.091575143,100261.25195097
183662.487179,448609.179487,246906.820513,197155.128205,204123.717949,378602.487179,272709.846154,275967.095238,100902.064604113
174274.948718,244378.794872,291514.974359,289230.615385,191062.153846,267305.307692,266766.692308,246361.92674,46529.6176886103
199538.692308,454538.615385,240341.974359,215454.974359,194120.564103,245785.025641,341332.564103,270158.915751143,95136.9770858752
200837.282051,319049.589744,241322.897436,189784.384615,198005.641026,267273.794872,250358.948718,238090.362637429,46359.2513041206
215212.189189,318474.513514,423748.702703,229061.081081,211091.540541,274925.432432,292594.324324,280729.683397714,75127.9226502143
186426.864865,296646.783784,334656.594595,185959.432432,187826.432432,262755.027027,279260.297297,247647.347490286,61006.9157976082
195647.351351,351143,305660,233072.72973,194720.540541,308093.675676,279094.351351,266775.949807,60381.885489537
269734.567568,350900.702703,409588.567568,181821.405405,186249.027027,293901.945946,282666.135135,282123.193050286,82181.2871012383
271076.945946,393531.459459,458285.702703,176570.378378,182414.918919,296521.027027,273826.891892,293175.332046286,103337.042102796
269311.675676,212931.648649,332141.432432,176212.486486,179615.567568,273680.027027,287386.027027,247325.552123571,58880.0672092396
267041.594595,272611.918919,238624.378378,176510.594595,179486.189189,276329.486486,302435.810811,244719.996139,49247.0250223551
269438.567568,273539,238273.351351,175416.972973,182606.054054,182361.918919,291763.918919,230485.683397714,49711.6747822354
263879.459459,216118.189189,340084.783784,194769.972973,193213.702703,198889.378378,413471.783784,260061.03861,85982.2389265652
209212.486486,471876.459459,488275.297297,204883.459459,216455.378378,223669.972973,306056.135135,302918.455598143,125871.406404915
331575.135135,345383.648649,275513.243243,215312.594595,231157.081081,237770.027027,309817.243243,278075.567567571,51916.2028949992
209229.305556,300402.472222,229467.833333,205045,221832.944444,230084.444444,309403.638889,243637.948412571,42974.1306036218
284513.277778,224049.472222,229379.972222,207061.388889,217261.916667,223618.277778,431126.694444,259573,79652.0209092574
291779.805556,285820.194444,207521.833333,205295.361111,220017.083333,236956.027778,276515.611111,246272.273809429,37652.9423414331
203706.405405,284882.378378,311107.891892,294346.243243,223917.918919,221024.918919,269685.945946,258381.671814571,41785.6449656833
230385.342105,376766.473684,289316.342105,333427.710526,295774.894737,339428.315789,333324.631579,314060.530075,47028.2354568834
199847.842105,295344.526316,276634.473684,328302.552632,323515.578947,303620.631579,312981.973684,291463.939849571,44014.5492583449
276879.727273,404685.272727,367251.181818,372493.454545,315004.545455,318519.363636,332791.090909,341089.233766143,43005.1521740082
286791.848485,271064.424242,315892.393939,311370.090909,308991.939394,322514.363636,330189.484848,306687.792207571,20734.9967863791
247286.628571,375275.314286,325138.428571,319352.228571,339137.485714,352932.314286,458235.628571,345336.861224286,63816.9148726851
245664.645161,327629.516129,331312.258065,336140.806452,349953.032258,369077.516129,365049.193548,332118.138248857,41391.8650596348
246793.709677,330737,341647.967742,373358.548387,364638.322581,532550.483871,333208.290323,360419.188940143,86312.4019990053
344023.677419,327002.387097,525033.580645,367486.774194,347216.903226,349283.967742,410376.193548,381489.069124429,68580.5621305851
309814.40625,336636.09375,413878.8125,447137.6875,297545.0625,323719.90625,393405.9375,360305.415178571,57579.7086458258
372403.666667,512113.533333,421881.466667,669545.2,417654.033333,297589.766667,434663.366667,446550.147619143,117825.486395318
353040.59375,630775.78125,410912.5625,629433.71875,406364.3125,280523.625,322485.71875,433362.330357143,141864.853066278
468514.392857,384951.321429,401755.892857,380066.642857,431385.214286,364892.428571,367111.464286,399811.051020429,37903.5744990399
351987.066667,328636.4,580058.266667,592903.766667,365368.066667,527837.8,665685.833333,487496.742857286,136364.660400141
339519.7,336510.3,750462.566667,345202.766667,337530.5,534892.366667,578160.133333,460325.476190571,164256.322400451
276274.833333,254007.833333,660487.3,296222.233333,413261.1,512556.433333,260622.833333,381918.938095,155578.177753861
286555.035714,264114.321429,470538.178571,299696.964286,560711.892857,740542.892857,260818.392857,411853.954081572,185542.758651718
250138.607143,253349.464286,632103.428571,443435.464286,609517.75,384923.321429,256047.714286,404216.535714429,165552.739812454
242130.071429,344501.5,439447.428571,408031.964286,566132,439779.178571,245852.035714,383696.311224429,115978.990491012
345028.071429,248549.714286,422464.071429,281660.25,424784.071429,306782.857143,240330.035714,324228.438775714,76460.1311037872
370078.233333,337609.333333,688886.266667,507096.533333,430755.7,340595.7,266652.566667,420239.190476143,140891.091525773
380306.9,355000.6,369123.133333,686641.133333,322479.533333,329883.1,263942.2,386768.085714143,137683.953840314
340140.83871,338174.419355,362672.741935,498313.870968,422119.258065,262922.387097,267869.290323,356030.400921857,83335.9081333165
