,set up=,6367,,,,,,set up=,4960,,,,,,set up=,276345,,,,,,set up=,30149,,,,,,set up=,15704,,,,,,set up=,297062,,,,,,,,,
,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,mode1_loop,,,,,,,,,,
,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,nds_td0 and nds_td_rem set up,indipendent set search,sum[i] calculation,star_to_mesh,nodes, per_node,,,,,
,738,16910,1114,49661,23,,,166,3430,271,10234,23,,,37766,44264,2344,3507,23,,,923,18988,1440,63703,23,,,1297,18664,1511,57560,23,,,28937171,214255376,5555181,22949,23,,,,,,
,688,17890,1178,54067,18,,,148,3576,229,10823,18,,,46259,28351,1869,5150,18,,,896,18806,1324,81338,18,,,890,18551,1386,59254,18,,,28689728,143479991,5656605,18005,18,,,,,,
,646,15739,908,51751,13,,,140,3077,190,10436,13,,,375675,25098,1838,10157,13,,,862,16768,1100,63994,13,,,1180,16526,1048,56114,13,,,41258963,96694164,266878,31190,13,,,,,,
,640,14219,684,45135,11,,,134,2746,174,8512,11,,,696999,18947,1651,9339,11,,,884,15051,1070,52447,11,,,835,15043,966,46784,11,,,49047467,63750226,5567129,16878,11,,,,,,
,625,11615,550,38791,7,,,139,2419,92,8406,7,,,779950,11259,1535,13924,7,,,754,13916,667,55615,7,,,1061,13218,712,49020,7,,,39902718,21284933,5294399,17806,7,,,,,,
,571,11880,430,47188,6,,,119,2678,75,10378,6,,,623744,2539352,1605,10169,6,,,737,14414,579,65856,6,,,727,14100,744,55838,6,,,40181131,31894571,10741361,63653,6,,,,,,
,589,12314,476,38177,6,,,129,2653,83,8914,6,,,784719,7100,1499,10429,6,,,725,13406,644,55336,6,,,1019,13535,695,48216,6,,,43992762,81179,6471740,62344,6,,,,,,
,525,11944,402,49753,5,,,116,2577,93,11581,5,,,449119,11417,357589,11054,5,,,718,14477,515,71011,5,,,692,14030,584,61328,5,,,27459270,5685035,4350066,24703,5,,,,,,
,596,12452,331,48238,4,,,126,2770,73,10921,4,,,200820,255324,7000,15860,4,,,681,14501,491,71108,4,,,1045,14268,544,60634,4,,,48121204,11768028,511896,45056,4,,,,,,
,542,13275,333,50478,4,,,115,2760,65,11473,4,,,2950964,110170,7955,17390,4,,,712,16080,546,76566,4,,,684,16510,588,81423,4,,,54946714,7996372,23878,44825,4,,,,,,
,545,13414,362,46910,4,,,123,3031,68,10641,4,,,299824,254725,9072,12160,4,,,666,15796,502,71911,4,,,967,16310,542,59283,4,,,48206046,11641139,1276565,36888,4,,,,,,
,507,11663,403,51114,4,,,112,2619,79,11616,4,,,200783,445187,1137,22873,4,,,678,13796,459,73876,4,,,662,14126,465,64603,4,,,53852547,41676848,5454470,51541,4,,,,,,
,530,10851,365,39136,3,,,117,2527,52,8821,3,,,481674,319294,698,5443,3,,,663,13532,357,60678,3,,,635,13443,453,49915,3,,,48820965,11716077,2375,23338,3,,,,,,
,531,11330,247,30271,3,,,112,2253,50,7205,3,,,209191,175992,558,5049,3,,,643,12910,381,50195,3,,,646,12982,378,43516,3,,,46844514,11539012,1900,19149,3,,,,,,
